
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  6.10000000000E+07     ; 6.40000000000E+07   ; Hz                  ; 1601      ; S11           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reS11        ; imS11         
   6.12137500000E+07; -0.576016     ;-0.775007     
   6.12156250000E+07; -0.576897     ;-0.776722     
   6.12175000000E+07; -0.576821     ;-0.775239     
   6.12193750000E+07; -0.577763     ;-0.777567     
   6.12212500000E+07; -0.579417     ;-0.773589     
   6.12231250000E+07; -0.580096     ;-0.776451     
   6.12250000000E+07; -0.580323     ;-0.772146     
   6.12268750000E+07; -0.580317     ;-0.770862     
   6.12287500000E+07; -0.581765     ;-0.772998     
   6.12306250000E+07; -0.582685     ;-0.769273     
   6.12325000000E+07; -0.584437     ;-0.770463     
   6.12343750000E+07; -0.583661     ;-0.770641     
   6.12362500000E+07; -0.584418     ;-0.768929     
   6.12381250000E+07; -0.585023     ;-0.768097     
   6.12400000000E+07; -0.586314     ;-0.769424     
   6.12418750000E+07; -0.587005     ;-0.766705     
   6.12437500000E+07; -0.58772      ;-0.767879     
   6.12456250000E+07; -0.589473     ;-0.76644      
   6.12475000000E+07; -0.593792     ;-0.764582     
   6.12493750000E+07; -0.591679     ;-0.76372      
   6.12512500000E+07; -0.589694     ;-0.763212     
   6.12531250000E+07; -0.589577     ;-0.761968     
   6.12550000000E+07; -0.594691     ;-0.764086     
   6.12568750000E+07; -0.596087     ;-0.759807     
   6.12587500000E+07; -0.597955     ;-0.760372     
   6.12606250000E+07; -0.592972     ;-0.759001     
   6.12625000000E+07; -0.595647     ;-0.761193     
   6.12643750000E+07; -0.597773     ;-0.76151      
   6.12662500000E+07; -0.597136     ;-0.759764     
   6.12681250000E+07; -0.598695     ;-0.759343     
   6.12700000000E+07; -0.600851     ;-0.758328     
   6.12718750000E+07; -0.60167      ;-0.757247     
   6.12737500000E+07; -0.600222     ;-0.755792     
   6.12756250000E+07; -0.601183     ;-0.753817     
   6.12775000000E+07; -0.605149     ;-0.754584     
   6.12793750000E+07; -0.606265     ;-0.753877     
   6.12812500000E+07; -0.606363     ;-0.75346      
   6.12831250000E+07; -0.605617     ;-0.752705     
   6.12850000000E+07; -0.604917     ;-0.752708     
   6.12868750000E+07; -0.607711     ;-0.751672     
   6.12887500000E+07; -0.607609     ;-0.75455      
   6.12906250000E+07; -0.609895     ;-0.74885      
   6.12925000000E+07; -0.610307     ;-0.749298     
   6.12943750000E+07; -0.608674     ;-0.748311     
   6.12962500000E+07; -0.610532     ;-0.748517     
   6.12981250000E+07; -0.615277     ;-0.748146     
   6.13000000000E+07; -0.611624     ;-0.746013     
   6.13018750000E+07; -0.612736     ;-0.746521     
   6.13037500000E+07; -0.613807     ;-0.745749     
   6.13056250000E+07; -0.617588     ;-0.745285     
   6.13075000000E+07; -0.614535     ;-0.743392     
   6.13093750000E+07; -0.615282     ;-0.74293      
   6.13112500000E+07; -0.618344     ;-0.744576     
   6.13131250000E+07; -0.617323     ;-0.742803     
   6.13150000000E+07; -0.619133     ;-0.742574     
   6.13168750000E+07; -0.620476     ;-0.740986     
   6.13187500000E+07; -0.622306     ;-0.741488     
   6.13206250000E+07; -0.620284     ;-0.739468     
   6.13225000000E+07; -0.621822     ;-0.737183     
   6.13243750000E+07; -0.623143     ;-0.740632     
   6.13262500000E+07; -0.622717     ;-0.738422     
   6.13281250000E+07; -0.625517     ;-0.738015     
   6.13300000000E+07; -0.624175     ;-0.736909     
   6.13318750000E+07; -0.626712     ;-0.735918     
   6.13337500000E+07; -0.626486     ;-0.736441     
   6.13356250000E+07; -0.62918      ;-0.735981     
   6.13375000000E+07; -0.628029     ;-0.733901     
   6.13393750000E+07; -0.630513     ;-0.734816     
   6.13412500000E+07; -0.629638     ;-0.733908     
   6.13431250000E+07; -0.630548     ;-0.729393     
   6.13450000000E+07; -0.633327     ;-0.729423     
   6.13468750000E+07; -0.633564     ;-0.73074      
   6.13487500000E+07; -0.634694     ;-0.728743     
   6.13506250000E+07; -0.635165     ;-0.728138     
   6.13525000000E+07; -0.632726     ;-0.72872      
   6.13543750000E+07; -0.634828     ;-0.727273     
   6.13562500000E+07; -0.636166     ;-0.72626      
   6.13581250000E+07; -0.637661     ;-0.725939     
   6.13600000000E+07; -0.637815     ;-0.724594     
   6.13618750000E+07; -0.638116     ;-0.725377     
   6.13637500000E+07; -0.639491     ;-0.723507     
   6.13656250000E+07; -0.639679     ;-0.723124     
   6.13675000000E+07; -0.64107      ;-0.722419     
   6.13693750000E+07; -0.642538     ;-0.723725     
   6.13712500000E+07; -0.643494     ;-0.719763     
   6.13731250000E+07; -0.643901     ;-0.720435     
   6.13750000000E+07; -0.642811     ;-0.720239     
   6.13768750000E+07; -0.644854     ;-0.719311     
   6.13787500000E+07; -0.646861     ;-0.717489     
   6.13806250000E+07; -0.64659      ;-0.716129     
   6.13825000000E+07; -0.647917     ;-0.716268     
   6.13843750000E+07; -0.649703     ;-0.71512      
   6.13862500000E+07; -0.645892     ;-0.715347     
   6.13881250000E+07; -0.649011     ;-0.714676     
   6.13900000000E+07; -0.650006     ;-0.713109     
   6.13918750000E+07; -0.648854     ;-0.714369     
   6.13937500000E+07; -0.650761     ;-0.713241     
   6.13956250000E+07; -0.652734     ;-0.712068     
   6.13975000000E+07; -0.653591     ;-0.711705     
   6.13993750000E+07; -0.652986     ;-0.712839     
   6.14012500000E+07; -0.655161     ;-0.709971     
   6.14031250000E+07; -0.656303     ;-0.710734     
   6.14050000000E+07; -0.657855     ;-0.707404     
   6.14068750000E+07; -0.653016     ;-0.707758     
   6.14087500000E+07; -0.656355     ;-0.706614     
   6.14106250000E+07; -0.657014     ;-0.705772     
   6.14125000000E+07; -0.6585       ;-0.704337     
   6.14143750000E+07; -0.66016      ;-0.703964     
   6.14162500000E+07; -0.660765     ;-0.707968     
   6.14181250000E+07; -0.661495     ;-0.703811     
   6.14200000000E+07; -0.66072      ;-0.703107     
   6.14218750000E+07; -0.662662     ;-0.70086      
   6.14237500000E+07; -0.662163     ;-0.7022       
   6.14256250000E+07; -0.663921     ;-0.699344     
   6.14275000000E+07; -0.66461      ;-0.70093      
   6.14293750000E+07; -0.666186     ;-0.701293     
   6.14312500000E+07; -0.667283     ;-0.699069     
   6.14331250000E+07; -0.667521     ;-0.697616     
   6.14350000000E+07; -0.66836      ;-0.69777      
   6.14368750000E+07; -0.667484     ;-0.697159     
   6.14387500000E+07; -0.668837     ;-0.695818     
   6.14406250000E+07; -0.670924     ;-0.695215     
   6.14425000000E+07; -0.670667     ;-0.695115     
   6.14443750000E+07; -0.671759     ;-0.696763     
   6.14462500000E+07; -0.673036     ;-0.694448     
   6.14481250000E+07; -0.67408      ;-0.69227      
   6.14500000000E+07; -0.676479     ;-0.689244     
   6.14518750000E+07; -0.675208     ;-0.689926     
   6.14537500000E+07; -0.678139     ;-0.68987      
   6.14556250000E+07; -0.677009     ;-0.689442     
   6.14575000000E+07; -0.677829     ;-0.68802      
   6.14593750000E+07; -0.679316     ;-0.686012     
   6.14612500000E+07; -0.679111     ;-0.687278     
   6.14631250000E+07; -0.679946     ;-0.686282     
   6.14650000000E+07; -0.679994     ;-0.686077     
   6.14668750000E+07; -0.681443     ;-0.684954     
   6.14687500000E+07; -0.680781     ;-0.683146     
   6.14706250000E+07; -0.681734     ;-0.683601     
   6.14725000000E+07; -0.683814     ;-0.681689     
   6.14743750000E+07; -0.684431     ;-0.681011     
   6.14762500000E+07; -0.685122     ;-0.682175     
   6.14781250000E+07; -0.686858     ;-0.68072      
   6.14800000000E+07; -0.686729     ;-0.679975     
   6.14818750000E+07; -0.686759     ;-0.679022     
   6.14837500000E+07; -0.688567     ;-0.676529     
   6.14856250000E+07; -0.689504     ;-0.676807     
   6.14875000000E+07; -0.686769     ;-0.675842     
   6.14893750000E+07; -0.689841     ;-0.675239     
   6.14912500000E+07; -0.689931     ;-0.676392     
   6.14931250000E+07; -0.691264     ;-0.674977     
   6.14950000000E+07; -0.691139     ;-0.674963     
   6.14968750000E+07; -0.693184     ;-0.673477     
   6.14987500000E+07; -0.693249     ;-0.673001     
   6.15006250000E+07; -0.694188     ;-0.669946     
   6.15025000000E+07; -0.696246     ;-0.669911     
   6.15043750000E+07; -0.697231     ;-0.66963      
   6.15062500000E+07; -0.697067     ;-0.668763     
   6.15081250000E+07; -0.69642      ;-0.668836     
   6.15100000000E+07; -0.698148     ;-0.668146     
   6.15118750000E+07; -0.701017     ;-0.665394     
   6.15137500000E+07; -0.698579     ;-0.665552     
   6.15156250000E+07; -0.699496     ;-0.664367     
   6.15175000000E+07; -0.702032     ;-0.668547     
   6.15193750000E+07; -0.7023       ;-0.664768     
   6.15212500000E+07; -0.702293     ;-0.664155     
   6.15231250000E+07; -0.704962     ;-0.659326     
   6.15250000000E+07; -0.701786     ;-0.661993     
   6.15268750000E+07; -0.705435     ;-0.65997      
   6.15287500000E+07; -0.707018     ;-0.659633     
   6.15306250000E+07; -0.706399     ;-0.657609     
   6.15325000000E+07; -0.706238     ;-0.658132     
   6.15343750000E+07; -0.705982     ;-0.656027     
   6.15362500000E+07; -0.708661     ;-0.657624     
   6.15381250000E+07; -0.708743     ;-0.65543      
   6.15400000000E+07; -0.708751     ;-0.654482     
   6.15418750000E+07; -0.709924     ;-0.652187     
   6.15437500000E+07; -0.711412     ;-0.653882     
   6.15456250000E+07; -0.711472     ;-0.65346      
   6.15475000000E+07; -0.715005     ;-0.651413     
   6.15493750000E+07; -0.711043     ;-0.649292     
   6.15512500000E+07; -0.710201     ;-0.647067     
   6.15531250000E+07; -0.716681     ;-0.65289      
   6.15550000000E+07; -0.714773     ;-0.651299     
   6.15568750000E+07; -0.715093     ;-0.648507     
   6.15587500000E+07; -0.717254     ;-0.646599     
   6.15606250000E+07; -0.717067     ;-0.648282     
   6.15625000000E+07; -0.720595     ;-0.643609     
   6.15643750000E+07; -0.715682     ;-0.644715     
   6.15662500000E+07; -0.720603     ;-0.644247     
   6.15681250000E+07; -0.720195     ;-0.644327     
   6.15700000000E+07; -0.719945     ;-0.642885     
   6.15718750000E+07; -0.719386     ;-0.638798     
   6.15737500000E+07; -0.72158      ;-0.643007     
   6.15756250000E+07; -0.721639     ;-0.639611     
   6.15775000000E+07; -0.724801     ;-0.639372     
   6.15793750000E+07; -0.726211     ;-0.63595      
   6.15812500000E+07; -0.723044     ;-0.636891     
   6.15831250000E+07; -0.727872     ;-0.635379     
   6.15850000000E+07; -0.725375     ;-0.635244     
   6.15868750000E+07; -0.728389     ;-0.638395     
   6.15887500000E+07; -0.728875     ;-0.633792     
   6.15906250000E+07; -0.728258     ;-0.633579     
   6.15925000000E+07; -0.727831     ;-0.632774     
   6.15943750000E+07; -0.73142      ;-0.631341     
   6.15962500000E+07; -0.728135     ;-0.629444     
   6.15981250000E+07; -0.729882     ;-0.630461     
   6.16000000000E+07; -0.730749     ;-0.627313     
   6.16018750000E+07; -0.731206     ;-0.628027     
   6.16037500000E+07; -0.734247     ;-0.631523     
   6.16056250000E+07; -0.733861     ;-0.629968     
   6.16075000000E+07; -0.735023     ;-0.626135     
   6.16093750000E+07; -0.736915     ;-0.623925     
   6.16112500000E+07; -0.735492     ;-0.623721     
   6.16131250000E+07; -0.738209     ;-0.622952     
   6.16150000000E+07; -0.736357     ;-0.623194     
   6.16168750000E+07; -0.735977     ;-0.622016     
   6.16187500000E+07; -0.738025     ;-0.621107     
   6.16206250000E+07; -0.739101     ;-0.621408     
   6.16225000000E+07; -0.738999     ;-0.622096     
   6.16243750000E+07; -0.742091     ;-0.618312     
   6.16262500000E+07; -0.73977      ;-0.617634     
   6.16281250000E+07; -0.740977     ;-0.616537     
   6.16300000000E+07; -0.740134     ;-0.613514     
   6.16318750000E+07; -0.739425     ;-0.612753     
   6.16337500000E+07; -0.745774     ;-0.616905     
   6.16356250000E+07; -0.744354     ;-0.615502     
   6.16375000000E+07; -0.745877     ;-0.612767     
   6.16393750000E+07; -0.746277     ;-0.612925     
   6.16412500000E+07; -0.74838      ;-0.608664     
   6.16431250000E+07; -0.748203     ;-0.610177     
   6.16450000000E+07; -0.747512     ;-0.60891      
   6.16468750000E+07; -0.749832     ;-0.608625     
   6.16487500000E+07; -0.74779      ;-0.607399     
   6.16506250000E+07; -0.749818     ;-0.60925      
   6.16525000000E+07; -0.751564     ;-0.605811     
   6.16543750000E+07; -0.751996     ;-0.605914     
   6.16562500000E+07; -0.751753     ;-0.603914     
   6.16581250000E+07; -0.751406     ;-0.603627     
   6.16600000000E+07; -0.753874     ;-0.604321     
   6.16618750000E+07; -0.753346     ;-0.602437     
   6.16637500000E+07; -0.753991     ;-0.601033     
   6.16656250000E+07; -0.754261     ;-0.599056     
   6.16675000000E+07; -0.757952     ;-0.600423     
   6.16693750000E+07; -0.755077     ;-0.597102     
   6.16712500000E+07; -0.757109     ;-0.597727     
