
  ZVRE, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  6.10000000000E+07     ; 6.40000000000E+07   ; Hz                  ; 1601      ; S11           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reS11        ; imS11         
   6.12137500000E+07; -0.574329     ;-0.777253     
   6.12156250000E+07; -0.574976     ;-0.775426     
   6.12175000000E+07; -0.576219     ;-0.776324     
   6.12193750000E+07; -0.576761     ;-0.77744      
   6.12212500000E+07; -0.580311     ;-0.774065     
   6.12231250000E+07; -0.579639     ;-0.774088     
   6.12250000000E+07; -0.580684     ;-0.77256      
   6.12268750000E+07; -0.582435     ;-0.771119     
   6.12287500000E+07; -0.581614     ;-0.770547     
   6.12306250000E+07; -0.583427     ;-0.773118     
   6.12325000000E+07; -0.582446     ;-0.772246     
   6.12343750000E+07; -0.585343     ;-0.768934     
   6.12362500000E+07; -0.584719     ;-0.769392     
   6.12381250000E+07; -0.589209     ;-0.768129     
   6.12400000000E+07; -0.587099     ;-0.768826     
   6.12418750000E+07; -0.58647      ;-0.765508     
   6.12437500000E+07; -0.58795      ;-0.768484     
   6.12456250000E+07; -0.59005      ;-0.765925     
   6.12475000000E+07; -0.591045     ;-0.765571     
   6.12493750000E+07; -0.59237      ;-0.763988     
   6.12512500000E+07; -0.590126     ;-0.762525     
   6.12531250000E+07; -0.592454     ;-0.765468     
   6.12550000000E+07; -0.593509     ;-0.765175     
   6.12568750000E+07; -0.594413     ;-0.76327      
   6.12587500000E+07; -0.594515     ;-0.763125     
   6.12606250000E+07; -0.596183     ;-0.760871     
   6.12625000000E+07; -0.595799     ;-0.760896     
   6.12643750000E+07; -0.596523     ;-0.761475     
   6.12662500000E+07; -0.5987       ;-0.758349     
   6.12681250000E+07; -0.599368     ;-0.757999     
   6.12700000000E+07; -0.602147     ;-0.756797     
   6.12718750000E+07; -0.600472     ;-0.756068     
   6.12737500000E+07; -0.6008       ;-0.758097     
   6.12756250000E+07; -0.601711     ;-0.755121     
   6.12775000000E+07; -0.602435     ;-0.755033     
   6.12793750000E+07; -0.60397      ;-0.755566     
   6.12812500000E+07; -0.605778     ;-0.752711     
   6.12831250000E+07; -0.6068       ;-0.752008     
   6.12850000000E+07; -0.608408     ;-0.750886     
   6.12868750000E+07; -0.605999     ;-0.751723     
   6.12887500000E+07; -0.607533     ;-0.752456     
   6.12906250000E+07; -0.608318     ;-0.749586     
   6.12925000000E+07; -0.607474     ;-0.749593     
   6.12943750000E+07; -0.613213     ;-0.751614     
